,name,sfx,gfx,grid,vfx,grid2,times,xsize,info,mp_cost,effects,effects_ratio,effects_target,damage,damage_target,category,element
guard,凝神,恢复,,0,guard_img,60.0,10,1.75,恢复50%已损失能量（MP）值。,0,充能,empty:0,empty,0.0,self,Recharge,

guard_spt,蓄能,恢复,,0,guard_spt_img,60.0,10,1.75,恢复50%已损失能量（MP）值，同时为队伍所有角色附加一层“义”。,0,充能,empty:0,empty,0.0,self,Recharge,

psychokinesis,念动力场,念动力场,,16,psychokinesis_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击100%物理伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击105%物理伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击110%物理伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击115%物理伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击125%物理伤害。,0,伤害,empty:0,empty,1.0:1.05:1.10:1.15:1.25,single,General_attack,physical:physical:physical:physical:physical

psychokinesis_ex,念动力场,念动力场,,16,psychokinesis_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%物理伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,physical

psychokinesis_ex_sfire,念动力场-火,念动力场,,16,psychokinesis_fire_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%火元素伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,fire

psychokinesis_ex_slight,念动力场-雷,念动力场,,16,psychokinesis_light_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%雷元素伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,light

psychokinesis_ex_swater,念动力场-水,念动力场,,16,psychokinesis_water_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%水元素伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,water

psychokinesis_ex_sice,念动力场-冰,念动力场,,16,psychokinesis_ice_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%冰元素伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,ice

psychokinesis_ex_srock,念动力场-岩,念动力场,,16,psychokinesis_rock_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%岩元素伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,rock

psychokinesis_ex_swind,念动力场-风,念动力场,,16,psychokinesis_wind_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%风元素伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,wind

psychokinesis_ex_fire,念动力场-火,念动力场,,16,psychokinesis-fire_img,60.0,19,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击150%火元素伤害。,-30,伤害,empty:0,empty,1.5,single,General_attack,fire

psychokinesis_ex_firem,念动力场-火,念动力场,,16,psychokinesis-fire_img,60.0,19,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，对敌方全体造成攻击150%火元素伤害。,-30,伤害,empty:0,empty,1.5,AOE,General_attack,fire

psychokinesis_ex_waterm,念动力场-水,念动力场,,16,psychokinesis-water_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，对敌方全体造成攻击150%水元素伤害。,-30,伤害,empty:0,empty,1.5,AOE,General_attack,water

psychokinesis_ex_lightm,念动力场-雷,念动力场,,16,psychokinesis-light_img,60.0,19,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，对敌方全体造成攻击150%雷元素伤害。,-30,伤害,empty:0,empty,1.5,AOE,General_attack,light

psychokinesis_ex_icem,念动力场-冰,念动力场,,16,psychokinesis-ice_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，对敌方全体造成攻击150%冰元素伤害。,-30,伤害,empty:0,empty,1.5,AOE,General_attack,ice

